Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14
58.67,4.46,3.04,6,43,561,0,1,1,0,2,2,8,11
48.08,6.04,0.04,0,0,2691,1,0,0,0,2,2,4,4
41.17,1.335,0.165,0,168,1,1,0,0,0,2,2,4,2
32.75,1.5,5.5,3,0,1,1,1,1,1,2,2,8,13
22.5,0.125,0.125,0,200,71,1,0,0,0,2,1,4,4
39.58,13.915,8.625,6,70,1,1,1,1,1,2,2,4,9
63.33,0.54,0.585,3,180,1,1,1,1,1,2,2,4,8
24.5,0.5,1.5,0,280,825,0,1,0,0,2,2,8,11
30.42,1.375,0.04,3,0,34,0,0,1,0,2,2,8,9
29.42,1.25,1.75,0,200,1,1,0,0,0,2,2,4,9
36.5,4.25,3.5,0,454,51,1,0,0,0,2,2,4,11
29.83,3.5,0.165,0,216,1,1,0,0,0,2,2,4,8
24.75,13.665,1.5,0,280,2,0,0,0,0,2,2,8,11
47,13,5.165,9,0,1,0,1,1,1,2,2,5,3
58.33,10,4,14,0,1603,0,1,1,0,2,2,4,11
21,3,1.085,8,160,2,1,1,1,1,2,1,4,2
22.25,1.25,3.25,0,280,1,0,0,0,0,2,1,1,1
16.5,1.25,0.25,1,108,99,0,0,1,0,2,2,4,11
47.42,8,6.5,6,375,51101,0,1,1,0,2,2,5,10
45.17,1.5,2.5,0,140,1,1,1,0,1,2,2,4,8
19.17,0,0,0,500,2,1,0,0,1,1,1,5,7
23.08,2.5,0.085,0,100,4209,1,0,0,1,2,2,1,1
41.17,4.04,7,8,320,1,1,1,1,0,2,2,8,13
17.25,3,0.04,0,160,41,1,0,0,1,2,2,4,4
18.75,7.5,2.71,5,184,26727,0,1,1,0,2,2,4,11
40.92,0.5,0.5,0,130,1,1,0,0,1,2,1,4,7
33.08,4.625,1.625,2,0,1,0,1,1,0,2,2,8,11
22.42,11.25,0.75,4,0,322,0,1,1,0,2,1,8,14
80.25,5.5,0.54,0,0,341,1,1,0,0,2,2,4,8
34.75,15,5.375,9,0,135,1,1,1,1,2,2,7,12
33.67,1.25,1.165,0,120,1,1,0,0,0,2,2,4,9
40.83,10,1.75,0,29,838,0,1,0,0,2,2,8,11
25.08,2.54,0.25,0,370,1,0,1,0,1,2,1,4,6
36.33,2.125,0.085,1,50,1188,1,1,1,0,2,1,4,9
57.08,0.335,1,0,252,2198,0,1,0,1,2,2,5,3
48.25,25.085,1.75,3,120,15,1,1,1,0,2,2,4,9
18.33,1.21,0,0,100,1,1,0,0,0,2,1,2,10
44.25,0.5,10.75,0,400,1,1,1,0,0,1,2,4,7
31.25,1.125,0,1,96,20,1,0,1,0,2,2,1,1
38.42,0.705,0.375,2,225,501,1,0,1,0,2,2,4,8
32.75,2.335,5.75,0,292,1,1,0,0,1,2,2,8,2
19.67,0.21,0.29,11,80,100,0,1,1,0,2,2,8,11
38.58,5,13.5,0,980,1,0,1,0,1,2,2,4,13
24.5,12.75,4.75,2,73,445,0,1,1,0,2,2,5,8
22.08,11,0.665,0,100,1,1,1,0,0,2,2,4,13
23.25,4,0.25,0,160,1,1,1,0,1,2,2,5,8
36,1,2,11,0,457,0,1,1,0,2,2,4,8
36.75,5.125,5,0,0,4001,0,1,0,1,2,2,4,10
31.57,0.5,0.835,0,320,1,1,1,0,1,1,2,5,8
16,3.125,0.085,1,0,7,1,0,1,0,2,2,4,9
51.58,15,8.5,9,0,1,1,1,1,0,2,2,4,8
33.58,2.75,4.25,6,204,1,1,1,1,0,2,2,4,7
17.08,3.29,0.335,0,140,3,1,0,0,1,2,2,4,3
38.58,3.335,4,14,383,1345,1,1,1,0,2,2,4,9
73.42,17.75,0,0,0,1,1,1,0,1,2,2,1,1
19.17,8.585,0.75,7,96,1,0,1,1,0,2,2,8,13
23.25,12.625,0.125,2,0,5553,1,0,1,0,2,2,4,8
31.57,11.25,0,0,184,5201,0,0,0,0,2,2,1,1
32.08,4,1.5,0,120,1,1,0,0,1,2,1,4,13
22.5,11,3,0,268,1,0,1,0,1,2,1,4,11
44.33,0.5,5,0,320,1,1,1,0,1,2,2,8,3
17.58,9,1.375,0,0,1,0,1,0,1,2,2,4,6
65.17,14,0,11,0,1401,0,1,1,1,2,2,1,1
48.58,6.5,6,0,350,1,1,1,0,1,2,2,8,11
23.58,11.5,3,0,20,17,0,0,0,1,2,1,8,4
48.17,7.625,15.5,12,0,791,1,1,1,0,2,2,8,9
60.58,16.5,11,0,21,10562,0,1,0,1,2,2,4,11
27.58,2.04,2,3,370,561,1,1,1,1,2,1,4,6
28.67,1.04,2.5,5,300,1431,0,1,1,1,2,2,4,8
57.42,8.5,7,3,0,1,1,1,1,0,2,2,8,10
34.83,2.5,3,0,200,1,1,0,0,0,1,1,4,9
45.83,10.5,5,7,0,1,0,1,1,1,2,2,4,11
22.75,11.5,0.415,0,0,1,1,0,0,0,2,2,4,3
31.57,3.5,3,0,300,1,0,1,0,1,2,2,4,2
34.67,1.08,1.165,0,28,1,1,0,0,0,1,2,4,7
31.83,2.5,7.5,0,523,1,1,1,0,1,2,2,4,6
44,2,1.75,2,0,16,1,1,1,1,2,2,4,7
34.83,1.25,0.5,0,160,1,0,0,0,1,2,1,8,3
43.25,3,6,11,80,1,1,1,1,0,2,2,8,11
23,0.625,0.125,0,180,2,1,1,0,0,2,1,4,6
56.58,18.5,15,17,0,1,1,1,1,1,2,2,5,2
23.92,0.585,0.125,0,240,2,1,0,0,0,2,1,8,13
32.08,4,2.5,0,360,1,1,1,0,1,2,2,4,7
43.25,25.21,0.21,1,760,91,1,1,1,0,2,2,8,11
37.42,2.04,0.04,0,400,5801,1,1,0,1,2,2,4,9
22,7.835,0.165,0,184,1,1,0,0,1,2,1,5,3
20.08,1.25,0,0,0,1,0,0,0,0,2,2,4,8
18.42,9.25,1.21,4,60,541,0,1,1,0,2,2,4,11
28.33,5,11,0,70,1,1,1,0,1,2,2,4,9
22.92,3.165,0.165,0,160,1059,1,0,0,0,2,1,4,8
25.42,0.54,0.165,1,272,445,1,0,1,0,2,2,4,9
23.5,2.75,4.5,0,160,26,1,0,0,0,2,2,1,1
41,2.04,0.125,23,455,1237,0,1,1,1,2,1,8,11
18.67,5,0.375,2,0,39,1,1,1,0,2,2,4,11
30.33,0.5,0.085,0,252,1,1,0,0,1,1,2,8,2
19.75,0.75,0.795,5,140,6,0,1,1,1,2,2,4,8
28.67,9.335,5.665,6,381,169,1,1,1,0,2,2,8,11
54.33,6.75,2.625,11,0,285,1,1,1,1,2,2,8,8
23.92,0.665,0.165,0,100,1,1,0,0,0,2,2,4,8
32.25,1.5,0.25,0,372,123,0,0,0,1,2,2,4,8
