Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Label
26.75,4.5,2.5,0,200,1211,1,0,0,0,2,1,5,8,0
42.08,1.04,5.0,6,500,10001,1,1,1,1,2,2,4,9,1
35.25,16.5,4.0,0,80,1,1,1,0,0,2,1,4,8,0
41.58,1.75,0.21,0,160,1,1,1,0,0,2,2,4,4,0
42.0,9.79,7.96,8,0,1,1,1,1,0,2,2,8,14,1
27.25,0.625,0.455,0,200,1,1,1,0,1,2,2,4,6,0
40.0,6.5,3.5,1,0,501,1,1,1,0,2,2,5,6,1
25.58,0.0,0.0,0,184,1,0,0,0,0,3,2,4,8,1
16.17,0.04,0.04,0,0,1,1,0,0,0,2,2,4,8,1
27.25,1.665,5.085,9,399,828,1,1,1,0,2,2,8,13,1
25.83,12.835,0.5,0,0,3,1,0,0,0,2,2,4,13,0
18.17,2.46,0.96,2,160,588,1,0,1,1,2,2,7,8,0
20.5,11.835,6.0,0,340,1,0,1,0,0,2,2,8,8,1
22.33,11.0,2.0,1,80,279,1,1,1,0,2,2,4,9,1
22.75,6.165,0.165,0,220,1001,0,0,0,0,2,2,4,6,0
22.67,10.5,1.335,0,100,1,1,1,0,0,2,2,8,11,1
37.75,5.5,0.125,0,228,1,0,1,0,1,2,2,4,11,1
33.08,1.625,0.54,0,0,1,0,0,0,1,2,2,4,2,0
32.0,6.0,1.25,0,272,1,0,0,0,0,2,2,4,2,0
20.42,1.835,2.25,1,100,151,1,1,1,0,2,2,4,8,1
32.33,0.54,0.04,0,440,11178,0,1,0,0,2,2,4,13,1
15.83,7.625,0.125,1,0,161,0,0,1,1,2,2,4,11,0
56.42,28.0,28.5,40,0,16,1,1,1,0,2,1,4,8,1
29.83,1.25,0.25,0,224,1,1,0,0,0,2,1,4,4,0
23.0,1.835,0.0,1,200,54,0,0,1,0,2,2,3,5,0
41.75,0.96,2.5,0,510,601,1,1,0,0,2,2,4,14,1
38.67,0.21,0.085,0,280,1,1,1,0,1,2,2,4,4,1
57.83,7.04,14.0,6,360,1333,1,1,1,1,2,2,4,7,1
27.83,1.0,3.0,0,176,538,1,0,0,0,2,1,8,2,0
22.67,0.75,1.585,1,400,10,1,0,1,1,2,2,4,3,0
17.83,11.0,1.0,11,0,3001,0,1,1,0,2,2,8,14,1
37.58,0.0,0.0,0,184,1,1,0,0,0,3,2,4,8,1
22.42,5.665,2.585,7,129,3258,0,1,1,0,2,2,4,11,1
23.08,11.5,3.5,9,56,743,1,1,1,0,2,2,4,3,1
29.92,1.835,4.335,0,260,201,1,1,0,0,2,2,8,8,1
46.08,3.0,2.375,8,396,4160,0,1,1,1,2,2,4,8,1
40.25,21.5,20.0,11,0,1201,1,1,1,0,2,2,9,10,1
26.08,8.665,1.415,0,160,151,0,1,0,0,2,2,4,6,1
16.08,0.75,1.75,5,352,691,1,1,1,1,2,2,4,8,1
32.42,2.165,0.0,0,120,1,1,0,0,0,2,1,1,4,0
32.25,14.0,0.0,2,160,2,1,0,1,0,2,1,1,1,0
39.92,6.21,0.04,1,200,301,1,1,1,0,2,2,4,11,1
21.33,10.5,3.0,0,0,1,1,1,0,1,2,2,4,8,1
30.25,5.5,5.5,0,100,1,0,0,0,1,1,2,4,4,0
24.58,12.5,0.875,0,260,1,1,1,0,1,2,2,4,9,0
18.83,9.54,0.085,0,100,1,0,1,0,0,2,2,4,6,1
23.42,1.0,0.5,0,280,1,1,0,0,1,1,2,4,8,0
59.5,2.75,1.75,5,60,59,1,1,1,1,2,2,4,9,1
28.25,5.125,4.75,2,420,8,1,1,1,0,2,2,4,14,1
37.33,2.5,0.21,0,260,247,0,0,0,0,2,2,8,3,0
22.58,10.04,0.04,9,60,397,1,1,1,0,2,2,4,14,1
56.75,12.25,1.25,4,200,1,1,1,1,1,2,2,4,7,1
28.67,14.5,0.125,0,0,287,1,0,0,0,2,2,4,2,0
74.83,19.0,0.04,2,0,352,1,0,1,0,2,1,1,1,0
60.08,14.5,18.0,15,0,1001,1,1,1,1,2,2,1,1,1
21.75,1.75,0.0,0,160,1,0,0,0,0,2,1,3,5,0
45.0,4.585,1.0,0,240,1,0,0,0,1,1,2,8,4,0
21.83,0.25,0.665,0,0,1,1,1,0,1,2,2,8,2,1
22.58,1.5,0.54,0,120,68,1,0,0,1,2,1,4,6,0
43.17,5.0,2.25,0,141,1,1,0,0,1,2,2,5,3,0
40.92,0.835,0.0,0,130,2,1,1,0,0,2,2,1,1,0
29.58,4.5,7.5,2,330,1,1,1,1,1,2,2,4,9,1
28.0,2.0,4.165,2,181,1,1,1,1,1,2,2,8,4,1
