Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23
400000,1,2,1,34,0,0,0,0,0,0,372724,394443,398634,210628,203102,85374,28000,14547,8078,6500,5000,3012
390000,2,2,2,36,0,0,0,0,0,0,112528,102596,91761,76756,65520,52904,3669,3277,3220,2236,2007,1600
180000,2,2,1,43,-1,-1,-1,-1,-1,-1,316,316,316,396,396,3306,316,316,396,396,3306,3306
70000,1,2,2,25,0,0,0,0,0,0,23018,24044,25059,25559,26094,26612,1400,1415,915,947,952,986
360000,1,2,2,31,0,0,0,0,0,0,281600,281178,265549,244053,239088,193401,14128,11208,6554,7248,7122,6144
30000,1,5,2,24,0,0,0,0,2,2,21652,22656,23804,25668,24887,0,1369,1517,2381,0,0,0
180000,1,2,1,40,-1,-1,-1,-1,-1,-1,3071,5630,9040,1288,1419,2385,5639,9044,1290,1421,2386,1964
60000,2,1,2,25,0,0,0,0,0,0,59228,59961,59824,47655,27298,28303,2300,3572,2169,6000,4000,4000
500000,2,4,1,32,-2,-2,-2,-2,-2,-2,33647,482,9034,64346,5988,16890,486,9041,64988,6000,16899,14028
450000,1,1,1,53,-1,-1,-1,-1,-1,-1,17530,3873,3119,8970,1323,11990,3885,3128,9008,1323,12008,214
230000,2,2,1,29,0,0,0,0,0,0,30818,31209,32211,31647,34304,36849,2000,2000,1113,5000,5000,2000
50000,2,3,2,27,1,2,2,2,0,0,18019,9946,10319,8603,7298,6709,5559,2446,0,260,1000,1214
50000,2,1,2,30,0,0,0,2,2,2,19930,36105,29604,27764,28656,29087,28019,13000,0,2000,1000,5000
70000,2,3,1,38,0,0,0,0,0,0,24758,25581,16105,17571,18330,16268,1273,1534,2000,1000,1000,1000
